fighter_url,fighter_name,height_in,reach_in,stance,dob,slpm,sapm,str_acc,str_def,td_avg,td_acc,td_def,sub_avg,fighter_name_index
http://ufcstats.com/fighter-details/c03520b5c88ed6b4,Merab Dvalishvili,66.0,68.0,Orthodox,"Jan 10, 1991",4.33,2.55,42.0,,6.4,37.0,82.0,0.3,Merab Dvalishvili
http://ufcstats.com/fighter-details/d661ce4da776fc20,Petr Yan,67.0,67.0,Switch,"Feb 11, 1993",5.12,4.14,54.0,,1.58,48.0,85.0,0.1,Petr Yan
http://ufcstats.com/fighter-details/a0f0004aadf10b71,Alexandre Pantoja,65.0,67.0,Orthodox,"Apr 16, 1990",4.36,3.88,50.0,,2.8,47.0,69.0,1.0,Alexandre Pantoja
http://ufcstats.com/fighter-details/17e97649403ba428,Joshua Van,65.0,65.0,Orthodox,"Oct 10, 2001",8.86,6.36,56.0,,0.85,63.0,81.0,0.0,Joshua Van
http://ufcstats.com/fighter-details/792be9a24df82ed6,Brandon Moreno,67.0,70.0,Orthodox,"Dec 07, 1993",3.96,3.62,44.0,,1.51,44.0,64.0,0.4,Brandon Moreno
http://ufcstats.com/fighter-details/4461d7e47375a895,Tatsuro Taira,67.0,70.0,Orthodox,"Jan 27, 2000",2.87,2.54,60.0,,3.21,48.0,45.0,1.7,Tatsuro Taira
http://ufcstats.com/fighter-details/056c493bbd76a918,Henry Cejudo,64.0,64.0,Orthodox,"Feb 09, 1987",3.82,3.46,47.0,,1.84,31.0,76.0,0.1,Henry Cejudo
http://ufcstats.com/fighter-details/6e743a33d56bdaa4,Payton Talbott,70.0,70.0,Switch,"Sep 09, 1998",6.05,3.26,54.0,,0.24,25.0,76.0,0.2,Payton Talbott
http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,Jan Blachowicz,74.0,78.0,Orthodox,"Feb 24, 1983",3.44,3.03,49.0,,1.03,48.0,69.0,0.3,Jan Blachowicz
http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,Bogdan Guskov,75.0,76.0,Orthodox,"Sep 12, 1992",4.17,3.3,55.0,,0.0,0.0,57.0,1.1,Bogdan Guskov
http://ufcstats.com/fighter-details/99bd51917728c25d,Grant Dawson,70.0,72.0,Switch,"Feb 20, 1994",3.2,2.11,52.0,,3.87,40.0,57.0,1.1,Grant Dawson
http://ufcstats.com/fighter-details/2e7878927067fdca,Manuel Torres,70.0,73.0,Switch,"Mar 25, 1995",7.87,4.2,60.0,,2.0,66.0,88.0,1.0,Manuel Torres
http://ufcstats.com/fighter-details/809bd1a871491508,Terrance McKinney,70.0,73.0,Switch,"Sep 15, 1994",5.78,2.58,56.0,,3.59,40.0,77.0,2.2,Terrance McKinney
http://ufcstats.com/fighter-details/fd406a32a6fb3a29,Chris Duncan,70.0,71.0,Orthodox,"May 10, 1993",4.64,4.53,44.0,,3.17,42.0,50.0,0.5,Chris Duncan
http://ufcstats.com/fighter-details/6a740daf1b279661,Maycee Barber,65.0,65.0,Switch,"May 18, 1998",4.7,2.9,53.0,,1.44,43.0,53.0,0.1,Maycee Barber
http://ufcstats.com/fighter-details/9d62c2d8ee151f08,Karine Silva,65.0,67.0,Orthodox,"Dec 02, 1993",2.73,2.89,38.0,,2.37,47.0,11.0,1.9,Karine Silva
http://ufcstats.com/fighter-details/ff62013d2fce6d13,Nazim Sadykhov,70.0,69.0,Southpaw,"May 16, 1994",5.55,5.89,50.0,,1.29,55.0,75.0,0.3,Nazim Sadykhov
http://ufcstats.com/fighter-details/1e4f273069fb9e85,Fares Ziam,73.0,75.0,Orthodox,"Mar 21, 1997",2.85,1.62,51.0,,1.62,40.0,70.0,0.2,Fares Ziam
