fighter_name,fighter_url
Merab Dvalishvili,http://ufcstats.com/fighter-details/c03520b5c88ed6b4
Petr Yan,http://ufcstats.com/fighter-details/d661ce4da776fc20
Alexandre Pantoja,http://ufcstats.com/fighter-details/a0f0004aadf10b71
Joshua Van,http://ufcstats.com/fighter-details/17e97649403ba428
Brandon Moreno,http://ufcstats.com/fighter-details/792be9a24df82ed6
Tatsuro Taira,http://ufcstats.com/fighter-details/4461d7e47375a895
Henry Cejudo,http://ufcstats.com/fighter-details/056c493bbd76a918
Payton Talbott,http://ufcstats.com/fighter-details/6e743a33d56bdaa4
Jan Blachowicz,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
Bogdan Guskov,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f
Grant Dawson,http://ufcstats.com/fighter-details/99bd51917728c25d
Manuel Torres,http://ufcstats.com/fighter-details/2e7878927067fdca
Terrance McKinney,http://ufcstats.com/fighter-details/809bd1a871491508
Chris Duncan,http://ufcstats.com/fighter-details/fd406a32a6fb3a29
Maycee Barber,http://ufcstats.com/fighter-details/6a740daf1b279661
Karine Silva,http://ufcstats.com/fighter-details/9d62c2d8ee151f08
Nazim Sadykhov,http://ufcstats.com/fighter-details/ff62013d2fce6d13
Fares Ziam,http://ufcstats.com/fighter-details/1e4f273069fb9e85
Marvin Vettori,http://ufcstats.com/fighter-details/7acbb0972e75281a
Brunno Ferreira,http://ufcstats.com/fighter-details/1e719d4b676dc19a
Edson Barboza,http://ufcstats.com/fighter-details/64a50dad704d1d49
Jalin Turner,http://ufcstats.com/fighter-details/4d8fa64202cee4c1
Iwo Baraniewski,http://ufcstats.com/fighter-details/1c23ec2f1b71be40
Ibo Aslan,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45
Mansur Abdul-Malik,http://ufcstats.com/fighter-details/841695e02c99a521
Antonio Trocoli,http://ufcstats.com/fighter-details/6d48a2df51749d91
Muhammad Naimov,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7
Mairon Santos,http://ufcstats.com/fighter-details/480779d7f9a424d3
Arman Tsarukyan,http://ufcstats.com/fighter-details/eae48ff31db420c2
Dan Hooker,http://ufcstats.com/fighter-details/193b9d1858bc4df3
Belal Muhammad,http://ufcstats.com/fighter-details/b1b0729d27936f2f
Ian Machado Garry,http://ufcstats.com/fighter-details/442c9011034ae1fd
Volkan Oezdemir,http://ufcstats.com/fighter-details/0845c81e37d3bcb3
Alonzo Menifield,http://ufcstats.com/fighter-details/a495f599e787614f
Jack Hermansson,http://ufcstats.com/fighter-details/0a1942069c9ad6b6
Myktybek Orolbai,http://ufcstats.com/fighter-details/bf2c8e01b07d3eb1
Waldo Cortes Acosta,http://ufcstats.com/fighter-details/fc08099550072fe4
Shamil Gaziev,http://ufcstats.com/fighter-details/6747ccd6d1acd266
Tagir Ulanbekov,http://ufcstats.com/fighter-details/f00ac08ab056af5d
Kyoji Horiguchi,http://ufcstats.com/fighter-details/98aa60cf58071fd6
Bogdan Grad,http://ufcstats.com/fighter-details/fb37795db81f93f3
Luke Riley,http://ufcstats.com/fighter-details/b1de86d835638319
Nicolas Dalby,http://ufcstats.com/fighter-details/9d19d9e4aa2662e8
Saygid Izagakhmaev,http://ufcstats.com/fighter-details/de26d906f2874dd4
Alex Perez,http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f
Asu Almabayev,http://ufcstats.com/fighter-details/8d3273573b85be09
Abdul Rakhman Yakhyaev,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0
Rafael Cerqueira,http://ufcstats.com/fighter-details/09a4447655fd4b7b
Bekzat Almakhan,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
Aleksandre Topuria,http://ufcstats.com/fighter-details/4a6dff1b260bcf61
Ismail Naurdiev,http://ufcstats.com/fighter-details/6a96ad1bc34fb113
Ryan Loder,http://ufcstats.com/fighter-details/d5bab53a1a603aac
Nurullo Aliev,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Shem Rock,http://ufcstats.com/fighter-details/52b6bf4528130e86
Marek Bujlo,http://ufcstats.com/fighter-details/ac0874309da489b9
Denzel Freeman,http://ufcstats.com/fighter-details/b5c19c34f12c917e
Jack Della Maddalena,http://ufcstats.com/fighter-details/6b453bc35a823c3f
Islam Makhachev,http://ufcstats.com/fighter-details/275aca31f61ba28c
Valentina Shevchenko,http://ufcstats.com/fighter-details/132deb59abae64b1
Zhang Weili,http://ufcstats.com/fighter-details/1ebe20ebbfa15e29
Sean Brady,http://ufcstats.com/fighter-details/45f7cb591c3ab00b
Michael Morales,http://ufcstats.com/fighter-details/c32aeb1a59e6272d
Leon Edwards,http://ufcstats.com/fighter-details/f1fac969a1d70b08
Carlos Prates,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3
Beneil Dariush,http://ufcstats.com/fighter-details/08af939f41b5a57b
Benoit Saint Denis,http://ufcstats.com/fighter-details/c2299ec916bc7c56
Bo Nickal,http://ufcstats.com/fighter-details/35673bf5204524ee
Rodolfo Vieira,http://ufcstats.com/fighter-details/260e9e0d4954aea6
Roman Kopylov,http://ufcstats.com/fighter-details/9d83f6da776ff7d6
Gregory Rodrigues,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd
Erin Blanchfield,http://ufcstats.com/fighter-details/669970f7feba8ecd
Tracy Cortez,http://ufcstats.com/fighter-details/68d4a891e5cf2029
Malcolm Wellmaker,http://ufcstats.com/fighter-details/2e45d08b3f2f02c8
Ethyn Ewing,http://ufcstats.com/fighter-details/d776b5814f2400b4
Kyle Daukaus,http://ufcstats.com/fighter-details/d6c0cdd7e467c440
Gerald Meerschaert,http://ufcstats.com/fighter-details/6ac9bc2953c47345
Pat Sabatini,http://ufcstats.com/fighter-details/b8bbdeff718dbb7d
Chepe Mariscal,http://ufcstats.com/fighter-details/e0c6edcb5b5d0b90
Angela Hill,http://ufcstats.com/fighter-details/f0feeb2192937424
Fatima Kline,http://ufcstats.com/fighter-details/745fa7b605f8e2da
Baisangur Susurkaev,http://ufcstats.com/fighter-details/d1feea7a4bdcd503
Eric McConico,http://ufcstats.com/fighter-details/9508cc6184cb2450
Viacheslav Borshchev,http://ufcstats.com/fighter-details/19c591115a58982c
Matheus Camilo,http://ufcstats.com/fighter-details/72f890c5d421e705
Gabriel Bonfim,http://ufcstats.com/fighter-details/01641ba5df0c69b0
Randy Brown,http://ufcstats.com/fighter-details/c6aee362c7a7d482
Matt Schnell,http://ufcstats.com/fighter-details/67c1d46f4ed16f9e
Joseph Morales,http://ufcstats.com/fighter-details/2fe9032955c2e013
Muslim Salikhov,http://ufcstats.com/fighter-details/447f9858ae78f921
Uros Medic,http://ufcstats.com/fighter-details/681399317dbf4701
Chris Padilla,http://ufcstats.com/fighter-details/06626b6287e1ae1e
Ismael Bonfim,http://ufcstats.com/fighter-details/eb393afdbe3293d5
Christian Leroy Duncan,http://ufcstats.com/fighter-details/a93f94c923c3a9cb
Marco Tulio,http://ufcstats.com/fighter-details/9384e71bca6c409d
Hyder Amil,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Jamall Emmers,http://ufcstats.com/fighter-details/e00a3dee329a51f7
Ricky Simon,http://ufcstats.com/fighter-details/5987b2458f4b5290
