event_url,fight_url,red_fighter,blue_fighter,weight_class,event_date,winner,red_kd,blue_kd,red_sig_str_landed,red_sig_str_attempted,blue_sig_str_landed,blue_sig_str_attempted,red_td_landed,red_td_attempted,blue_td_landed,blue_td_attempted
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/4a0db214d9721d6e,Merab Dvalishvili,Petr Yan,Bantamweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/dfa692db6d39330c,Alexandre Pantoja,Joshua Van,Flyweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/fbbb9e72900b71f5,Brandon Moreno,Tatsuro Taira,Flyweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/1dc29f4c6fcdd356,Henry Cejudo,Payton Talbott,Bantamweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/6d6ab10cbaa45e8c,Jan Blachowicz,Bogdan Guskov,Light Heavyweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/c797b58d85c840a4,Grant Dawson,Manuel Torres,Lightweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/b3d2ac2244e4f791,Terrance McKinney,Chris Duncan,Lightweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/2417cc7bc1eea75b,Maycee Barber,Karine Silva,Women's Flyweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/10a57b983e59f727,Nazim Sadykhov,Fares Ziam,Lightweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/3c683da1924b6c44,Marvin Vettori,Brunno Ferreira,Middleweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/7af407397532f7cf,Edson Barboza,Jalin Turner,Lightweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/ea660db65bfa998f,Iwo Baraniewski,Ibo Aslan,Light Heavyweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/964ea1777695851b,Mansur Abdul-Malik,Antonio Trocoli,Middleweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/bd92cf5da5413d2a,http://ufcstats.com/fight-details/40fa4f8b4b93884e,Muhammad Naimov,Mairon Santos,Featherweight,"December 06, 2025",,,,,,,,,,,
http://ufcstats.com/event-details/92c96df8bdab5fea,http://ufcstats.com/fight-details/5f5b626e67529056,Arman Tsarukyan,Dan Hooker,Lightweight,"November 22, 2025",Red,0.0,0.0,19.0,30.0,5.0,20.0,1.0,3.0,0.0,0.0
http://ufcstats.com/event-details/92c96df8bdab5fea,http://ufcstats.com/fight-details/b2218930b982d9b6,Ian Machado Garry,Belal Muhammad,Welterweight,"November 22, 2025",Blue,0.0,0.0,24.0,57.0,27.0,53.0,0.0,1.0,0.0,0.0
http://ufcstats.com/event-details/92c96df8bdab5fea,http://ufcstats.com/fight-details/870d374f8d9af65a,Volkan Oezdemir,Alonzo Menifield,Light Heavyweight,"November 22, 2025",Red,1.0,0.0,13.0,35.0,2.0,7.0,0.0,0.0,0.0,0.0
http://ufcstats.com/event-details/92c96df8bdab5fea,http://ufcstats.com/fight-details/8ed609d80e135d94,Myktybek Orolbai,Jack Hermansson,Welterweight,"November 22, 2025",Blue,0.0,1.0,19.0,38.0,15.0,33.0,0.0,0.0,0.0,0.0
http://ufcstats.com/event-details/92c96df8bdab5fea,http://ufcstats.com/fight-details/e8307c7686c42d8c,Waldo Cortes Acosta,Shamil Gaziev,Heavyweight,"November 22, 2025",Red,2.0,0.0,10.0,21.0,6.0,15.0,0.0,0.0,0.0,0.0
http://ufcstats.com/event-details/92c96df8bdab5fea,http://ufcstats.com/fight-details/00ee51bba08b7a08,Kyoji Horiguchi,Tagir Ulanbekov,Flyweight,"November 22, 2025",Blue,0.0,0.0,5.0,24.0,16.0,25.0,1.0,1.0,0.0,1.0
